ch4,h2,co,medida
0,0,0,"4,64"
200,0,0,"1,85"
800,0,0,"1,17"
1500,0,0,"0,87"
2000,0,0,"0,79"
0,200,0,"3,74"
200,200,0,"1,2"
800,200,0,"0,87"
1500,200,0,"0,72"
2000,200,0,"0,67"
0,800,0,"2,99"
200,800,0,"1,1"
800,800,0,"0,82"
1500,800,0,"0,66"
2000,800,0,"0,65"
0,1500,0,"2,67"
200,1500,0,"1,12"
800,1500,0,"0,8"
1500,1500,0,"0,67"
2000,1500,0,"0,62"
0,2000,0,"2,45"
200,2000,0,"1,11"
800,2000,0,"0,81"
1500,2000,0,"0,67"
2000,2000,0,"0,59"
0,0,200,"4,43"
200,0,200,"1,55"
800,0,200,"1,09"
1500,0,200,"0,82"
2000,0,200,"0,75"
0,200,200,"3,06"
200,200,200,"1,16"
800,200,200,"0,82"
1500,200,200,"0,64"
2000,200,200,"0,62"
0,800,200,"2,61"
200,800,200,"1,04"
800,800,200,"0,76"
1500,800,200,"0,62"
2000,800,200,"0,57"
0,1500,200,"2,41"
200,1500,200,"1,06"
800,1500,200,"0,79"
1500,1500,200,"0,64"
2000,1500,200,"0,58"
0,2000,200,"2,24"
200,2000,200,"1,03"
800,2000,200,"0,75"
1500,2000,200,"0,61"
2000,2000,200,"0,59"
0,0,800,"3,69"
200,0,800,"1,56"
800,0,800,"1,04"
1500,0,800,"0,78"
2000,0,800,"0,7"
0,200,800,"3,11"
200,200,800,"1,15"
800,200,800,"0,81"
1500,200,800,"0,63"
2000,200,800,"0,63"
0,800,800,"2,55"
200,800,800,"1,03"
800,800,800,"0,81"
1500,800,800,"0,61"
2000,800,800,"0,62"
0,1500,800,"2,37"
200,1500,800,"0,97"
800,1500,800,"0,78"
1500,1500,800,"0,59"
2000,1500,800,"0,59"
0,2000,800,"2,14"
200,2000,800,"1,02"
800,2000,800,"0,76"
1500,2000,800,"0,58"
2000,2000,800,"0,57"
0,0,1500,"3,58"
200,0,1500,"1,6"
800,0,1500,"1,06"
1500,0,1500,"0,79"
2000,0,1500,"0,76"
0,200,1500,"2,93"
200,200,1500,"1,08"
800,200,1500,"0,86"
1500,200,1500,"0,64"
2000,200,1500,"0,63"
0,800,1500,"2,36"
200,800,1500,"1,03"
800,800,1500,"0,76"
1500,800,1500,"0,61"
2000,800,1500,"0,61"
0,1500,1500,"2,23"
200,1500,1500,1
800,1500,1500,"0,76"
1500,1500,1500,"0,59"
2000,1500,1500,"0,6"
0,2000,1500,"2,21"
200,2000,1500,"0,94"
800,2000,1500,"0,74"
1500,2000,1500,"0,61"
2000,2000,1500,"0,56"
0,0,2000,"3,86"
200,0,2000,"1,57"
800,0,2000,"1,02"
1500,0,2000,"0,76"
2000,0,2000,"0,71"
0,200,2000,"3,08"
200,200,2000,"1,07"
800,200,2000,"0,81"
1500,200,2000,"0,68"
2000,200,2000,"0,62"
0,800,2000,"2,46"
200,800,2000,"1,01"
800,800,2000,"0,75"
1500,800,2000,"0,63"
2000,800,2000,"0,57"
0,1500,2000,"2,26"
200,1500,2000,"0,97"
800,1500,2000,"0,77"
1500,1500,2000,"0,61"
2000,1500,2000,"0,59"
0,2000,2000,"2,12"
200,2000,2000,"0,99"
800,2000,2000,"0,76"
1500,2000,2000,"0,63"
2000,2000,2000,"0,58"
