ch4,h2,co,medida
0,0,0,"19,8"
0,0,200,"0,64"
0,0,800,"0,28"
0,0,1500,"0,19"
0,0,2000,"0,16"
0,200,0,"0,5"
0,200,200,"0,36"
0,200,800,"0,2"
0,200,1500,"0,16"
0,200,2000,"0,14"
0,800,0,"0,19"
0,800,200,"0,22"
0,800,800,"0,15"
0,800,1500,"0,12"
0,800,2000,"0,11"
0,1500,0,"0,12"
0,1500,200,"0,15"
0,1500,800,"0,12"
0,1500,1500,"0,1"
0,1500,2000,"0,09"
0,2000,0,"0,09"
0,2000,200,"0,13"
0,2000,800,"0,1"
0,2000,1500,"0,09"
0,2000,2000,"0,08"
200,0,0,"15,68"
200,0,200,"0,63"
200,0,800,"0,28"
200,0,1500,"0,19"
200,0,2000,"0,16"
200,200,0,"0,88"
200,200,200,"0,38"
200,200,800,"0,21"
200,200,1500,"0,16"
200,200,2000,"0,13"
200,800,0,"0,31"
200,800,200,"0,21"
200,800,800,"0,15"
200,800,1500,"0,12"
200,800,2000,"0,1"
200,1500,0,"0,2"
200,1500,200,"0,16"
200,1500,800,"0,12"
200,1500,1500,"0,1"
200,1500,2000,"0,09"
200,2000,0,"0,15"
200,2000,200,"0,13"
200,2000,800,"0,1"
200,2000,1500,"0,09"
200,2000,2000,"0,08"
800,0,0,"11,55"
800,0,200,"0,62"
800,0,800,"0,26"
800,0,1500,"0,2"
800,0,2000,"0,17"
800,200,0,"0,83"
800,200,200,"0,36"
800,200,800,"0,21"
800,200,1500,"0,16"
800,200,2000,"0,14"
800,800,0,"0,32"
800,800,200,"0,2"
800,800,800,"0,15"
800,800,1500,"0,12"
800,800,2000,"0,11"
800,1500,0,"0,2"
800,1500,200,"0,15"
800,1500,800,"0,11"
800,1500,1500,"0,1"
800,1500,2000,"0,09"
800,2000,0,"0,16"
800,2000,200,"0,13"
800,2000,800,"0,1"
800,2000,1500,"0,09"
800,2000,2000,"0,08"
1500,0,0,"11,03"
1500,0,200,"0,62"
1500,0,800,"0,27"
1500,0,1500,"0,2"
1500,0,2000,"0,16"
1500,200,0,"0,81"
1500,200,200,"0,36"
1500,200,800,"0,2"
1500,200,1500,"0,16"
1500,200,2000,"0,13"
1500,800,0,"0,32"
1500,800,200,"0,21"
1500,800,800,"0,15"
1500,800,1500,"0,12"
1500,800,2000,"0,1"
1500,1500,0,"0,2"
1500,1500,200,"0,15"
1500,1500,800,"0,12"
1500,1500,1500,"0,1"
1500,1500,2000,"0,09"
1500,2000,0,"0,16"
1500,2000,200,"0,12"
1500,2000,800,"0,1"
1500,2000,1500,"0,09"
1500,2000,2000,"0,08"
2000,0,0,"10,61"
2000,0,200,"0,62"
2000,0,800,"0,28"
2000,0,1500,"0,19"
2000,0,2000,"0,16"
2000,200,0,"0,85"
2000,200,200,"0,38"
2000,200,800,"0,21"
2000,200,1500,"0,16"
2000,200,2000,"0,14"
2000,800,0,"0,32"
2000,800,200,"0,21"
2000,800,800,"0,15"
2000,800,1500,"0,12"
2000,800,2000,"0,11"
2000,1500,0,"0,2"
2000,1500,200,"0,16"
2000,1500,800,"0,12"
2000,1500,1500,"0,1"
2000,1500,2000,"0,09"
2000,2000,0,"0,15"
2000,2000,200,"0,13"
2000,2000,800,"0,1"
2000,2000,1500,"0,09"
2000,2000,2000,"0,08"
