h2,ch4,co,medida
0,0,0,"75,6"
200,0,0,"8,67"
800,0,0,"1,56"
1500,0,0,"0,57"
2000,0,0,"0,41"
0,200,0,"57,75"
200,200,0,"8,09"
800,200,0,"1,56"
1500,200,0,"0,57"
2000,200,0,"0,39"
0,800,0,45
200,800,0,8
800,800,0,"1,47"
1500,800,0,"0,58"
2000,800,0,"0,38"
0,1500,0,"42,4"
200,1500,0,"7,67"
800,1500,0,"1,57"
1500,1500,0,"0,55"
2000,1500,0,"0,39"
0,2000,0,39
200,2000,0,"7,72"
800,2000,0,"1,52"
1500,2000,0,"0,55"
2000,2000,0,"0,4"
0,0,200,"65,65"
200,0,200,"8,3"
800,0,200,"1,48"
1500,0,200,"0,59"
2000,0,200,"0,41"
0,200,200,"51,48"
200,200,200,"7,35"
800,200,200,"1,57"
1500,200,200,"0,57"
2000,200,200,"0,41"
0,800,200,"46,65"
200,800,200,"7,71"
800,800,200,"1,51"
1500,800,200,"0,55"
2000,800,200,"0,4"
0,1500,200,"41,05"
200,1500,200,"7,25"
800,1500,200,"1,46"
1500,1500,200,"0,57"
2000,1500,200,"0,4"
0,2000,200,"41,96"
200,2000,200,"7,3"
800,2000,200,"1,49"
1500,2000,200,"0,56"
2000,2000,200,"0,38"
0,0,800,57
200,0,800,"8,54"
800,0,800,"1,48"
1500,0,800,"0,57"
2000,0,800,"0,41"
0,200,800,"48,82"
200,200,800,"7,22"
800,200,800,"1,45"
1500,200,800,"0,55"
2000,200,800,"0,39"
0,800,800,"43,24"
200,800,800,"7,15"
800,800,800,"1,46"
1500,800,800,"0,58"
2000,800,800,"0,4"
0,1500,800,"40,88"
200,1500,800,"7,27"
800,1500,800,"1,52"
1500,1500,800,"0,59"
2000,1500,800,"0,38"
0,2000,800,"38,66"
200,2000,800,"7,25"
800,2000,800,"1,47"
1500,2000,800,"0,55"
2000,2000,800,"0,38"
0,0,1500,"56,16"
200,0,1500,"7,96"
800,0,1500,"1,54"
1500,0,1500,"0,57"
2000,0,1500,"0,38"
0,200,1500,"47,71"
200,200,1500,"7,48"
800,200,1500,"1,51"
1500,200,1500,"0,57"
2000,200,1500,"0,4"
0,800,1500,"43,2"
200,800,1500,"7,2"
800,800,1500,"1,56"
1500,800,1500,"0,55"
2000,800,1500,"0,41"
0,1500,1500,"40,5"
200,1500,1500,"7,52"
800,1500,1500,"1,44"
1500,1500,1500,"0,59"
2000,1500,1500,"0,38"
0,2000,1500,"40,22"
200,2000,1500,"7,01"
800,2000,1500,"1,56"
1500,2000,1500,"0,57"
2000,2000,1500,"0,38"
0,0,2000,"54,08"
200,0,2000,"8,01"
800,0,2000,"1,57"
1500,0,2000,"0,55"
2000,0,2000,"0,39"
0,200,2000,"47,85"
200,200,2000,"7,17"
800,200,2000,"1,45"
1500,200,2000,"0,57"
2000,200,2000,"0,38"
0,800,2000,"43,39"
200,800,2000,"7,11"
800,800,2000,"1,5"
1500,800,2000,"0,56"
2000,800,2000,"0,38"
0,1500,2000,"41,09"
200,1500,2000,"7,3"
800,1500,2000,"1,47"
1500,1500,2000,"0,55"
2000,1500,2000,"0,39"
0,2000,2000,"38,19"
200,2000,2000,"7,34"
800,2000,2000,"1,53"
1500,2000,2000,"0,54"
2000,2000,2000,"0,38"
